0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:35 +0800] "GET /httpServletDemo/Picture/right.jpg HTTP/1.1" 200 113050
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:35 +0800] "GET /httpServletDemo/Picture/end.jpg HTTP/1.1" 200 33186
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:56:35 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/LoginSuccess.html HTTP/1.1" 200 6472
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/main.css HTTP/1.1" 200 3669
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/pageJs/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/css/lun.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/Picture/Shezhi.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/img/1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/img/2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/img/44.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Oct/2018:06:57:42 +0800] "GET /httpServletDemo/img/3.png HTTP/1.1" 304 -
